metro_area,total,with_internet_subscription,dial_up_with_no_other_internet_subscription,broadband_of_any_type,cellular_data_plan,cellular_data_plan_only,broadband_cable_fiber_or_dsl,broadband_cable_fiber_or_dsl_only,satellite_internet_service,satellite_internet_service_only,other_service_only,internet_access_without_subscription,no_internet_access,metro_area_id,year
"Burlington, NC Metro Area",64439,50260,238,50022,39326,6314,42081,9867,3639,460,44,2213,11966,15500,2019
"Burlington-South Burlington, VT Metro Area",87679,74593,416,74177,58792,5146,66954,14235,3244,464,100,4020,9066,15540,2019
"Butte-Silver Bow, MT Micro Area",14960,11500,80,11420,8561,1796,8547,2549,1348,192,11,708,2752,15580,2019
"Cadillac, MI Micro Area",19018,14392,125,14267,11501,3859,8712,2042,1889,490,27,664,3962,15620,2019
"Calhoun, GA Micro Area",20561,14906,39,14867,11377,2378,11142,2856,1966,437,0,1238,4417,15660,2019
"California-Lexington Park, MD Metro Area",40552,34058,180,33878,25258,3103,28948,7713,2931,509,21,1432,5062,15680,2019
"Cambridge, MD Micro Area",13183,10249,83,10166,8334,2499,6825,1490,943,199,61,291,2643,15700,2019
"Cambridge, OH Micro Area",16220,11932,108,11824,8361,2395,8421,2798,1248,432,24,483,3805,15740,2019
"Camden, AR Micro Area",11508,7763,91,7672,5674,1745,4801,1567,1315,319,33,314,3431,15780,2019
"Campbellsville, KY Micro Area",14270,10673,46,10627,8290,2005,8231,2056,1056,121,0,317,3280,15820,2019
"Cañon City, CO Micro Area",17136,14317,142,14175,10964,2182,10533,2566,1690,351,75,587,2232,15860,2019
"Canton-Massillon, OH Metro Area",164758,136270,610,135660,107513,16405,114153,25704,8866,1156,192,4381,24107,15940,2019
"Cape Coral-Fort Myers, FL Metro Area",275965,236502,1337,235165,188425,27123,200548,41872,17391,1660,197,10870,28593,15980,2019
"Cheyenne, WY Metro Area",39683,34100,178,33922,24421,3163,28540,8748,2870,476,69,1029,4554,16940,2019
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3514621,2974412,10861,2963551,2443911,319988,2545821,467092,195128,18503,6662,102158,438051,16980,2019
"Cape Girardeau, MO-IL Metro Area",36341,29421,189,29232,25083,6439,19417,2978,3907,846,41,499,6421,16020,2019
"Carbondale-Marion, IL Metro Area",55215,42392,286,42106,34674,10471,28045,6229,4546,698,93,1881,10942,16060,2019
"Carlsbad-Artesia, NM Micro Area",21251,16900,57,16843,14237,3725,11950,2206,1711,289,5,546,3805,16100,2019
"Carroll, IA Micro Area",8726,6970,47,6923,5457,1083,5210,1184,868,181,11,316,1440,16140,2019
"Carson City, NV Metro Area",22755,18789,49,18740,13459,2631,15407,4851,1385,218,7,811,3155,16180,2019
"Casper, WY Metro Area",32799,27170,102,27068,20426,2092,23363,6040,1819,348,58,1310,4319,16220,2019
"Cedar City, UT Micro Area",17015,14407,138,14269,10362,1471,10975,3004,2106,747,24,764,1844,16260,2019
"Cedar Rapids, IA Metro Area",109313,92281,540,91741,69080,9358,78345,20470,6785,1087,121,3413,13619,16300,2019
"Cedartown, GA Micro Area",15038,11248,39,11209,9085,2397,8028,1929,1254,101,19,597,3193,16340,2019
"Celina, OH Micro Area",16234,13675,76,13599,10615,1495,11267,2508,1144,335,15,448,2111,16380,2019
"Central City, KY Micro Area",11351,8392,43,8349,6585,1309,6116,1196,1234,308,20,272,2687,16420,2019
"Centralia, IL Micro Area",15946,12562,90,12472,9908,2183,8616,1894,1932,512,43,489,2895,16460,2019
"Centralia, WA Micro Area",30618,24836,306,24530,18093,3354,18452,4958,3407,950,39,894,4888,16500,2019
"Chambersburg-Waynesboro, PA Metro Area",60438,49205,571,48634,35558,5492,41691,11921,2554,391,44,1321,9912,16540,2019
"Champaign-Urbana, IL Metro Area",89061,73832,287,73545,56970,7834,61923,14797,6126,766,160,5464,9765,16580,2019
"Charleston, WV Metro Area",110818,85783,342,85441,61998,9855,70618,20199,6994,2200,70,3700,21335,16620,2019
"Charleston-Mattoon, IL Micro Area",25225,19880,62,19818,15250,2940,15606,4144,1630,268,15,1034,4311,16660,2019
"Charleston-North Charleston, SC Metro Area",291427,232973,687,232286,193409,28767,195298,34836,16608,1878,219,18160,40294,16700,2019
"Charlotte-Concord-Gastonia, NC-SC Metro Area",952806,819635,2291,817344,652892,90133,698960,149003,53809,6067,3305,21953,111218,16740,2019
"Charlottesville, VA Metro Area",84003,70866,429,70437,56697,14136,51816,11803,4882,974,273,2649,10488,16820,2019
"Chattanooga, TN-GA Metro Area",219166,175695,553,175142,137929,24199,145762,34238,8663,1221,200,5396,38075,16860,2019
"Chico, CA Metro Area",85320,73174,336,72838,57646,7284,59209,11865,8732,1774,189,2128,10018,17020,2019
"Chillicothe, OH Micro Area",28802,22722,51,22671,17682,2879,18926,4563,1245,225,12,1359,4721,17060,2019
"Cincinnati, OH-KY-IN Metro Area",861242,734858,3856,731002,589856,79510,625896,129161,42462,5131,1458,21685,104699,17140,2019
"Clarksburg, WV Micro Area",36397,28591,182,28409,19021,4220,22445,8314,2297,713,90,893,6913,17220,2019
"Clarksdale, MS Micro Area",8782,5474,53,5421,3934,2493,2425,812,599,239,15,135,3173,17260,2019
"Clarksville, TN-KY Metro Area",109408,90382,424,89958,72867,11392,72893,14531,9195,1550,124,3664,15362,17300,2019
