metro_area,total_workers,car_truck_or_van,drove_alone,carpooled,public_transportation,bus,long_distance_train_or_commuter_rail,light_rail_streetcar_or_trolley,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_from_home,other_aggregate,worked_from_home_extended,metro_area_id,year
"Key West, FL Micro Area",40537,30819,27891,2928,2375,453,100,398,236,11,32,0,119,2791,1910,2031,2588,28580,2019
"Kill Devil Hills, NC Micro Area",18016,15650,13882,1768,1413,88,267,9,9,0,0,0,0,184,421,254,1498,28620,2019
"Killeen-Temple, TX Metro Area",195807,178159,155889,22270,16559,3667,2044,824,715,14,32,38,25,426,6055,1905,8438,28660,2019
"Kokomo, IN Metro Area",36380,33861,30388,3473,2913,366,194,163,102,0,0,61,0,96,464,358,1438,29020,2019
"Laconia, NH Micro Area",30807,27608,24690,2918,2376,363,179,49,49,0,0,0,0,90,754,487,1819,29060,2019
"La Crosse-Onalaska, WI-MN Metro Area",71704,63387,57980,5407,4164,943,300,528,524,0,0,0,4,858,3143,768,3020,29100,2019
"Lafayette, LA Metro Area",217978,202682,184782,17900,13061,2937,1902,1079,1073,0,0,6,0,978,4222,2462,6555,29180,2019
"Lafayette-West Lafayette, IN Metro Area",110576,95503,84969,10534,8747,1199,588,2885,2856,0,17,12,0,1258,6680,900,3350,29200,2019
"La Grande, OR Micro Area",11333,9719,8607,1112,973,77,62,31,27,0,0,0,4,98,720,73,692,29260,2019
"LaGrange, GA-AL Micro Area",43406,41237,36572,4665,3602,806,257,54,54,0,0,0,0,0,510,777,828,29300,2019
"Lake Charles, LA Metro Area",91835,86400,78833,7567,5863,1225,479,388,386,0,0,2,0,240,1436,1154,2217,29340,2019
"Lake City, FL Micro Area",25974,24325,20904,3421,2848,466,107,23,9,14,0,0,0,139,198,257,1032,29380,2019
"Lake Havasu City-Kingman, AZ Metro Area",71243,65011,56329,8682,6952,1204,526,704,676,0,0,0,28,112,751,1466,3199,29420,2019
"Lakeland-Winter Haven, FL Metro Area",281139,260788,234448,26340,20398,3681,2261,1476,1428,35,7,6,0,1002,2703,3815,11355,29460,2019
"Lamesa, TX Micro Area",4299,3968,3302,666,532,60,74,0,0,0,0,0,0,0,104,44,183,29500,2019
"Lancaster, PA Metro Area",267221,235043,208063,26980,17563,4205,5212,3177,2365,24,773,0,15,1968,10538,2942,13553,29540,2019
"Lansing-East Lansing, MI Metro Area",260984,231426,207970,23456,18715,2773,1968,5896,5876,0,0,2,18,2463,8633,2077,10489,29620,2019
"Laramie, WY Micro Area",20741,16563,14725,1838,1345,382,111,284,284,0,0,0,0,873,2037,98,886,29660,2019
"Laredo, TX Metro Area",108124,100518,88263,12255,8864,1888,1503,1274,1189,5,67,13,0,97,1675,1517,3043,29700,2019
"Las Cruces, NM Metro Area",88174,80504,70923,9581,6147,2184,1250,391,381,10,0,0,0,672,1983,759,3865,29740,2019
"Las Vegas, NM Micro Area",10884,9127,7819,1308,1115,114,79,91,91,0,0,0,0,103,562,105,896,29780,2019
